prod_id,list_price,num_reviews,star_rating,val_star_rating,play_star_rating,review_difficulty_id,country_id
60162,149.99,1,5.0,4.0,5.0,4,21
60167,119.99,3,3.7,3.3,3.3,4,21
60161,119.99,6,4.3,4.0,4.5,4,21
60141,99.99,10,4.7,4.0,4.2,3,21
60188,99.99,1,5.0,5.0,5.0,1,21
60110,99.99,16,4.6,4.6,4.5,4,21
60174,89.99,8,4.6,4.0,4.4,4,21
60169,79.99,4,5.0,4.3,5.0,4,21
60140,69.99,9,3.3,3.6,3.9,3,21
60160,59.99,3,5.0,4.7,4.7,4,21
60173,59.99,2,4.0,2.5,4.5,4,21
60166,59.99,8,4.4,4.0,4.4,5,21
60139,49.99,10,4.0,3.3,3.9,3,21
60154,49.99,16,3.3,2.7,3.6,3,21
60186,49.99,1,5.0,4.0,4.0,4,21
60153,39.99,10,4.1,3.6,4.3,2,21
60138,39.99,14,4.2,4.1,4.2,4,21
60165,39.99,2,5.0,5.0,4.5,2,21
60172,39.99,0,,,,1,21
60159,39.99,5,4.8,4.6,4.8,3,21
60108,39.99,8,3.9,3.8,4.2,4,21
60182,29.99,7,5.0,5.0,5.0,3,21
60183,29.99,7,4.7,4.7,4.4,3,21
60107,24.99,11,4.5,4.1,4.5,3,21
60180,19.99,4,5.0,5.0,5.0,4,21
60150,19.99,35,4.9,4.8,4.6,3,21
7499,19.99,89,2.5,2.2,2.9,3,21
60148,19.99,12,4.8,4.6,4.7,3,21
60179,19.99,6,3.8,4.7,4.2,3,21
60181,19.99,7,4.4,4.2,4.3,3,21
60137,19.99,8,4.3,4.0,4.4,3,21
60176,19.99,1,5.0,4.0,5.0,3,21
60185,19.99,1,5.0,5.0,5.0,3,21
10751,19.99,0,,,,1,21
60164,19.99,3,4.3,4.7,4.3,3,21
60158,19.99,5,4.4,3.8,4.3,4,21
7895,15.99,47,4.1,3.6,4.2,2,21
7280,14.99,85,3.5,2.3,4.1,2,21
7281,14.99,40,3.9,2.8,4.1,2,21
60177,9.99,2,4.5,5.0,4.5,3,21
60157,9.99,12,4.9,4.6,4.5,3,21
10750,9.99,0,,,,1,21
60163,9.99,4,5.0,4.5,4.8,2,21
60171,9.99,2,5.0,,,1,21
60184,9.99,2,5.0,4.0,4.5,2,21
60178,9.99,1,5.0,4.0,4.0,3,21
60170,6.99,2,4.5,5.0,4.5,2,21
60156,6.99,5,3.6,4.2,3.8,3,21
60134,39.99,30,4.6,4.0,4.7,2,21
60125,149.99,5,4.6,4.2,5.0,4,21
60124,119.99,9,4.6,4.6,5.0,4,21
60109,79.99,2,4.5,4.0,4.5,3,21
60143,49.99,2,4.0,3.5,4.5,1,21
60129,49.99,5,3.2,2.0,3.8,3,21
60123,49.99,3,4.3,4.0,4.7,3,21
60122,39.99,4,5.0,4.5,5.0,4,21
